,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
31,2016-02-02,7251.023494586853,-2132.9970416747346,7666.592573867921,7251.023494586853,7251.023494586853,-4292.145267030923,-4292.145267030923,-4292.145267030923,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-656.6726661747394,-656.6726661747394,-656.6726661747394,-181.3265737841831,-181.3265737841831,-181.3265737841831,0.0,0.0,0.0,2958.8782275559306
32,2016-02-03,7251.399035619978,-1423.3158340593902,8481.435881409188,7251.399035619978,7251.399035619978,-3545.5027204180556,-3545.5027204180556,-3545.5027204180556,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-61.55397812332738,-61.55397812332738,-61.55397812332738,-29.80271522272794,-29.80271522272794,-29.80271522272794,0.0,0.0,0.0,3705.896315201923
33,2016-02-04,7251.774576653103,-1244.934391561104,9171.455892789223,7251.774576653103,7251.774576653103,-3365.7208223765388,-3365.7208223765388,-3365.7208223765388,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-28.117835524526217,-28.117835524526217,-28.117835524526217,116.543040219988,116.543040219988,116.543040219988,0.0,0.0,0.0,3886.0537542765646
34,2016-02-05,7252.150117686227,-1137.0747199855252,9108.292846648628,7252.150117686227,7252.150117686227,-3322.493664627942,-3322.493664627942,-3322.493664627942,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-123.75732157364382,-123.75732157364382,-123.75732157364382,255.4096840177023,255.4096840177023,255.4096840177023,0.0,0.0,0.0,3929.6564530582846
35,2016-02-06,7252.525658719352,-666.9532122174157,9671.976894700256,7252.525658719352,7252.525658719352,-2703.106917451574,-2703.106917451574,-2703.106917451574,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,366.3625872086075,366.3625872086075,366.3625872086075,384.6765224118183,384.6765224118183,384.6765224118183,0.0,0.0,0.0,4549.4187412677775
36,2016-02-07,7252.90119970349,-332.74712661812083,9605.011733759919,7252.90119970349,7252.90119970349,-2559.661294383043,-2559.661294383043,-2559.661294383043,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,392.0377138858437,392.0377138858437,392.0377138858437,502.4470188031137,502.4470188031137,502.4470188031137,0.0,0.0,0.0,4693.239905320448
37,2016-02-08,7253.27674068763,-474.3506649880282,9594.268437739871,7253.27674068763,7253.27674068763,-2735.35734672557,-2735.35734672557,-2735.35734672557,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,111.70150030013761,111.70150030013761,111.70150030013761,607.0871800462929,607.0871800462929,607.0871800462929,0.0,0.0,0.0,4517.91939396206
38,2016-02-09,7253.652281671769,-1159.6019311132359,8882.81806772983,7253.652281671769,7253.652281671769,-3413.561078743245,-3413.561078743245,-3413.561078743245,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-656.6726661750931,-656.6726661750931,-656.6726661750931,697.2576145038481,697.2576145038481,697.2576145038481,0.0,0.0,0.0,3840.0912029285237
39,2016-02-10,7254.027822655908,-643.7502783845858,9421.349966772414,7254.027822655908,7254.027822655908,-2743.7614558717414,-2743.7614558717414,-2743.7614558717414,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-61.55397812410127,-61.55397812410127,-61.55397812410127,771.9385493243605,771.9385493243605,771.9385493243605,0.0,0.0,0.0,4510.266366784166
40,2016-02-11,7254.403363640048,-308.0385073584011,9916.98127777017,7254.403363640048,7254.403363640048,-2651.8165917170663,-2651.8165917170663,-2651.8165917170663,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-28.117835524139497,-28.117835524139497,-28.117835524139497,830.4472708790736,830.4472708790736,830.4472708790736,0.0,0.0,0.0,4602.586771922982
41,2016-02-12,7254.778904624187,-442.5408554112708,9559.001061081899,7254.778904624187,7254.778904624187,-2705.455707566112,-2705.455707566112,-2705.455707566112,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-123.75732157268688,-123.75732157268688,-123.75732157268688,872.4476410785755,872.4476410785755,872.4476410785755,0.0,0.0,0.0,4549.323197058075
42,2016-02-13,7255.154445608326,129.73031365830423,10201.242000039705,7255.154445608326,7255.154445608326,-2189.8319013828773,-2189.8319013828773,-2189.8319013828773,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,366.3625872092235,366.3625872092235,366.3625872092235,897.9515384798993,897.9515384798993,897.9515384798993,0.0,0.0,0.0,5065.322544225448
43,2016-02-14,7255.529986592465,365.11110643387417,10473.976729217364,7255.529986592465,7255.529986592465,-2154.7960415055622,-2154.7960415055622,-2154.7960415055622,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,392.03771388614797,392.03771388614797,392.03771388614797,907.3122716802906,907.3122716802906,907.3122716802906,0.0,0.0,0.0,5100.733945086903
44,2016-02-15,7255.905527576604,-334.29057440365085,9735.31368700871,7255.905527576604,7255.905527576604,-2441.234318386851,-2441.234318386851,-2441.234318386851,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,111.70150029958083,111.70150029958083,111.70150029958083,901.2102083855685,901.2102083855685,901.2102083855685,0.0,0.0,0.0,4814.671209189753
45,2016-02-16,7256.281068560743,-1179.6102660098106,9415.700016782965,7256.281068560743,7256.281068560743,-3230.1876414757457,-3230.1876414757457,-3230.1876414757457,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-656.672666174532,-656.672666174532,-656.672666174532,880.6310517707864,880.6310517707864,880.6310517707864,0.0,0.0,0.0,4026.093427084997
46,2016-02-17,7256.656609544883,-514.7556153514174,9579.90031087108,7256.656609544883,7256.656609544883,-2668.862633614983,-2668.862633614983,-2668.862633614983,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-61.553978123980826,-61.553978123980826,-61.553978123980826,846.8373715809981,846.8373715809981,846.8373715809981,0.0,0.0,0.0,4587.793975929901
47,2016-02-18,7257.032150529022,-242.2527297809965,9418.499832777528,7257.032150529022,7257.032150529022,-2680.9297061221955,-2680.9297061221955,-2680.9297061221955,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-28.1178355250994,-28.1178355250994,-28.1178355250994,801.3341564749044,801.3341564749044,801.3341564749044,0.0,0.0,0.0,4576.102444406826
48,2016-02-19,7257.407691513161,-930.3369812264457,9300.181920510731,7257.407691513161,7257.407691513161,-2832.0740561853218,-2832.0740561853218,-2832.0740561853218,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-123.75732157290585,-123.75732157290585,-123.75732157290585,745.8292924595843,745.8292924595843,745.8292924595843,0.0,0.0,0.0,4425.333635327839
49,2016-02-20,7257.783232497301,-143.0379797051907,10145.503473420737,7257.783232497301,7257.783232497301,-2405.5934533004843,-2405.5934533004843,-2405.5934533004843,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,366.3625872088714,366.3625872088714,366.3625872088714,682.1899865626449,682.1899865626449,682.1899865626449,0.0,0.0,0.0,4852.189779196817
50,2016-02-21,7258.158773481439,-26.122789966090213,10020.693263188863,7258.158773481439,7258.158773481439,-2449.712070741463,-2449.712070741463,-2449.712070741463,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,392.03771388625523,392.03771388625523,392.03771388625523,612.3962424442823,612.3962424442823,612.3962424442823,0.0,0.0,0.0,4808.446702739977
51,2016-02-22,7258.534314465578,-892.0550109957986,9301.874100973113,7258.534314465578,7258.534314465578,-2803.9519733080156,-2803.9519733080156,-2803.9519733080156,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,111.70150030216159,111.70150030216159,111.70150030216159,538.4925534618231,538.4925534618231,538.4925534618231,0.0,0.0,0.0,4454.582341157562
52,2016-02-23,7258.909855449719,-1573.2392398022341,8537.029777057174,7258.909855449719,7258.909855449719,-3648.27968567931,-3648.27968567931,-3648.27968567931,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-656.6726661748856,-656.6726661748856,-656.6726661748856,462.5390075675753,462.5390075675753,462.5390075675753,0.0,0.0,0.0,3610.6301697704084
53,2016-02-24,7259.285396433857,-671.786569370536,9401.34726284505,7259.285396433857,7259.285396433857,-3129.1370082944254,-3129.1370082944254,-3129.1370082944254,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-61.55397812386042,-61.55397812386042,-61.55397812386042,386.56299690143567,386.56299690143567,386.56299690143567,0.0,0.0,0.0,4130.148388139432
